"SCL_UNITID","Team name",Win-Pct,Won,Lost,Tied,Games
100751,"Alabama",0.85714,114,19,0,133
142115,"Boise State",0.83333,110,22,0,132
207500,"Oklahoma",0.78195,104,29,0,133
209551,"Oregon",0.77273,102,30,0,132
139959,"Georgia",0.69655,101,44,0,145
217882,"Clemson",0.74265,101,35,0,136
204796,"Ohio State",0.82500,99,21,0,120
159391,"Louisiana State",0.75385,98,32,0,130
240444,"Wisconsin",0.72388,97,37,0,134
228875,"Texas Christian",0.73643,95,34,0,129
123961,"Southern Cal",0.71756,94,37,0,131
134097,"Florida State",0.74016,94,33,0,127
243744,"Stanford",0.70992,93,38,0,131
207388,"Oklahoma State",0.71538,93,37,0,130
233921,"Virginia Tech",0.68148,92,43,0,135
230038,"Brigham Young",0.70000,91,39,0,130
134130,"Florida",0.69466,91,40,0,131
171100,"Michigan State",0.68182,90,42,0,132
230764,"Utah",0.68750,88,40,0,128
214777,"Penn State",0.67442,87,42,0,129
225511,"Houston",0.66412,87,44,0,131
181464,"Nebraska",0.65152,86,46,0,132
201885,"Cincinnati",0.66667,86,43,0,129
178396,"Missouri",0.64885,85,46,0,131
147703,"Northern Illinois",0.63433,85,49,0,134
164155,"Navy",0.64885,85,46,0,131
238032,"West Virginia",0.65116,84,45,0,129
100858,"Auburn",0.63077,82,48,0,130
228778,"Texas",0.63281,81,47,0,128
153658,"Iowa",0.62016,80,49,0,129
218663,"South Carolina",0.60465,78,51,0,129
139755,"Georgia Tech",0.59091,78,54,0,132
157289,"Louisville",0.61417,78,49,0,127
228723,"Texas A&M",0.59690,77,52,0,129
128328,"Air Force",0.59231,77,53,0,130
155399,"Kansas State",0.59843,76,51,0,127
207971,"Tulsa",0.58462,76,54,0,130
152080,"Notre Dame",0.59055,75,52,0,127
204857,"Ohio",0.57692,75,55,0,130
223232,"Baylor",0.59055,75,52,0,127
170976,"Michigan",0.59055,75,52,0,127
132903,"Central Florida",0.57692,75,55,0,130
206084,"Toledo",0.59200,74,51,0,125
229115,"Texas Tech",0.58268,74,53,0,127
176080,"Mississippi State",0.57031,73,55,0,128
122409,"San Diego State",0.56589,73,56,0,129
147767,"Northwestern",0.57480,73,54,0,127
135726,"Miami-Florida",0.57480,73,54,0,127
215293,"Pittsburgh",0.56589,73,56,0,129
106458,"Arkansas State",0.56349,71,55,0,126
106397,"Arkansas",0.55906,71,56,0,127
182290,"Nevada-Reno",0.55039,71,58,0,129
198464,"East Carolina",0.55039,71,58,0,129
104151,"Arizona State",0.55118,70,57,0,127
159647,"Louisiana Tech",0.55118,70,57,0,127
221759,"Tennessee",0.53543,68,59,0,127
104179,"Arizona",0.53125,68,60,0,128
110662,"UCLA",0.52713,68,61,0,129
201441,"Bowling Green",0.52713,68,61,0,129
186380,"Rutgers",0.53125,68,60,0,128
169248,"Central Michigan",0.51938,67,62,0,129
237525,"Marshall",0.52756,67,60,0,127
216339,"Temple",0.53600,67,58,0,125
176017,"Mississippi",0.52381,66,60,0,126
236948,"Washington",0.50769,66,64,0,130
110556,"Fresno State",0.51163,66,63,0,129
172699,"Western Michigan",0.52381,66,60,0,126
137351,"South Florida",0.52381,66,60,0,126
220978,"Middle Tennessee State",0.52000,65,60,0,125
164924,"Boston College",0.50388,65,64,0,129
199193,"North Carolina State",0.51181,65,62,0,127
160658,"Louisiana-Lafayette",0.51200,64,61,0,125
102368,"Troy",0.51613,64,60,0,124
157951,"Western Kentucky",0.50794,64,62,0,126
150136,"Ball State",0.49600,62,63,0,125
209542,"Oregon State",0.48800,61,64,0,125
176372,"Southern Miss",0.47287,61,68,0,129
141574,"Hawaii",0.45038,59,72,0,131
230728,"Utah State",0.46457,59,68,0,127
199120,"North Carolina",0.52212,59,54,0,113
110635,"California",0.46400,58,67,0,125
174066,"Minnesota",0.44882,57,70,0,127
129020,"Connecticut",0.45600,57,68,0,125
227757,"Rice",0.44800,56,69,0,125
126818,"Colorado State",0.43651,55,71,0,126
157085,"Kentucky",0.43200,54,71,0,125
163286,"Maryland",0.42857,54,72,0,126
221999,"Vanderbilt",0.42400,53,72,0,125
198419,"Duke",0.42400,53,72,0,125
199847,"Wake Forest",0.42742,53,71,0,124
220862,"Memphis",0.41600,52,73,0,125
145637,"Illinois",0.41129,51,73,0,124
240727,"Wyoming",0.40323,50,74,0,124
159993,"Louisiana-Monroe",0.40164,49,73,0,122
122755,"San Jose State",0.39837,49,74,0,123
196413,"Syracuse",0.39024,48,75,0,123
196088,"Buffalo",0.38525,47,75,0,122
234076,"Virginia",0.37705,46,76,0,122
203517,"Kent",0.37190,45,76,0,121
228796,"Texas-El Paso",0.36885,45,77,0,122
151351,"Indiana",0.36585,45,78,0,123
228246,"Southern Methodist",0.36000,45,80,0,125
126614,"Colorado",0.34400,43,82,0,125
236939,"Washington State",0.34677,43,81,0,124
187985,"New Mexico",0.34677,43,81,0,124
133669,"Florida Atlantic",0.35246,43,79,0,122
243780,"Purdue",0.34959,43,80,0,123
133951,"Florida International",0.33607,41,81,0,122
153603,"Iowa State",0.32520,40,83,0,123
155317,"Kansas",0.31967,39,83,0,122
204024,"Miami-Ohio",0.30645,38,86,0,124
227216,"North Texas",0.29508,36,86,0,122
142285,"Idaho",0.28689,35,87,0,122
182281,"Nevada-Las Vegas",0.27419,34,90,0,124
160755,"Tulane",0.27869,34,88,0,122
169798,"Eastern Michigan",0.23967,29,92,0,121
188030,"New Mexico State",0.21951,27,96,0,123
